epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
90,1742.57,0.57698,0.86102,0.36639,0.90607,0,0.93175,0.73121,0.81388,0.62898,0.92626,0.72678,0.79842,0.57552,0.57838,1.33992,0.48266,0.96386,0,0.0055945,0.0055945,0.0055945
91,1791.25,0.57638,0.86703,0.36393,0.90562,0,0.91837,0.74027,0.81517,0.6249,0.90108,0.7317,0.78865,0.56491,0.59966,1.37138,0.47752,0.97007,0,0.005545,0.005545,0.005545
92,1839.66,0.58476,0.88329,0.3686,0.9074,0,0.92008,0.71349,0.76072,0.587,0.92101,0.70988,0.74737,0.54492,0.61699,1.30439,0.50381,1.0041,0,0.0054955,0.0054955,0.0054955
93,1887.68,0.58124,0.862,0.36797,0.90833,0,0.91956,0.72891,0.80742,0.60845,0.91025,0.72087,0.77888,0.55648,0.60121,1.34867,0.48115,0.98409,0,0.005446,0.005446,0.005446
94,1934.65,0.58197,0.86637,0.36933,0.90475,0,0.9184,0.74696,0.821,0.62751,0.9111,0.7433,0.80245,0.5753,0.58579,1.35186,0.46687,0.97246,0,0.0053965,0.0053965,0.0053965
95,1983.72,0.57451,0.8712,0.36314,0.90366,0,0.90158,0.73236,0.78911,0.60275,0.90318,0.72249,0.76821,0.54937,0.58994,1.35264,0.49304,0.98029,0,0.005347,0.005347,0.005347
96,2033.52,0.57946,0.86644,0.36378,0.90741,0,0.91723,0.73644,0.80977,0.6272,0.92617,0.73531,0.79832,0.57749,0.57967,1.33624,0.45815,0.9736,0,0.0052975,0.0052975,0.0052975
97,2082.77,0.57839,0.86615,0.36331,0.90398,0,0.92096,0.74182,0.82111,0.63026,0.91502,0.73681,0.79162,0.56979,0.58294,1.36291,0.4691,0.964,0,0.005248,0.005248,0.005248
98,2129.78,0.57052,0.85997,0.35917,0.89927,0,0.90103,0.73055,0.78736,0.61709,0.90381,0.72317,0.76624,0.56273,0.58286,1.29115,0.51812,0.975,0,0.0051985,0.0051985,0.0051985
99,2177.4,0.56639,0.85714,0.35763,0.90126,0,0.91711,0.72629,0.80671,0.6257,0.91844,0.72441,0.78647,0.57317,0.57347,1.3543,0.47922,0.97083,0,0.005149,0.005149,0.005149
100,2226.06,0.56756,0.85681,0.35621,0.90114,0,0.91586,0.70372,0.76566,0.58926,0.88999,0.71234,0.75133,0.53828,0.60731,1.28639,0.49338,0.99939,0,0.0050995,0.0050995,0.0050995
101,2275.29,0.5637,0.84238,0.35467,0.90051,0,0.89893,0.73745,0.7962,0.61289,0.91011,0.72153,0.77453,0.55746,0.60658,1.28102,0.45932,1.00143,0,0.00505,0.00505,0.00505
102,2323.29,0.56043,0.85161,0.35732,0.89945,0,0.91226,0.73881,0.81186,0.6163,0.90505,0.74303,0.79636,0.5641,0.59101,1.32253,0.45383,0.97565,0,0.0050005,0.0050005,0.0050005
103,2370.91,0.56741,0.84979,0.35789,0.90017,0,0.92164,0.7064,0.76071,0.59229,0.91975,0.70523,0.74782,0.54592,0.59446,1.36782,0.52553,0.99212,0,0.004951,0.004951,0.004951
104,2420.24,0.56407,0.84572,0.3546,0.90114,0,0.93161,0.71751,0.78004,0.61153,0.92169,0.71075,0.75755,0.56051,0.58161,1.32507,0.47209,0.98241,0,0.0049015,0.0049015,0.0049015
105,2470.55,0.55782,0.85086,0.35295,0.89678,0,0.91365,0.7381,0.82501,0.64104,0.91593,0.72938,0.79656,0.57735,0.56701,1.27795,0.44624,0.95852,0,0.004852,0.004852,0.004852
106,2518.53,0.56063,0.84766,0.35443,0.90117,0,0.93037,0.72826,0.8105,0.6266,0.88914,0.75008,0.7918,0.57599,0.59512,1.35306,0.45701,0.9824,0,0.0048025,0.0048025,0.0048025
107,2568.03,0.56615,0.84062,0.35555,0.89901,0,0.92926,0.74155,0.8064,0.62817,0.91764,0.73187,0.78252,0.57093,0.57012,1.28668,0.46897,0.96964,0,0.004753,0.004753,0.004753
108,2621.81,0.55803,0.83417,0.35363,0.89725,0,0.92621,0.73328,0.80275,0.62275,0.91932,0.72678,0.78629,0.56377,0.57092,1.31025,0.47332,0.974,0,0.0047035,0.0047035,0.0047035
109,2674.14,0.56027,0.84775,0.35287,0.89872,0,0.92731,0.73473,0.78867,0.61855,0.92201,0.72711,0.76916,0.56165,0.5744,1.30715,0.45312,0.98144,0,0.004654,0.004654,0.004654
110,2720.02,0.55349,0.83714,0.35026,0.8933,0,0.91963,0.74163,0.80287,0.62598,0.91709,0.73302,0.78066,0.57101,0.56376,1.2743,0.45082,0.96793,0,0.0046045,0.0046045,0.0046045
111,2767.1,0.54628,0.82542,0.34745,0.8942,0,0.92249,0.73039,0.79898,0.61707,0.91005,0.71553,0.77131,0.56382,0.5789,1.29027,0.48213,0.97734,0,0.004555,0.004555,0.004555
112,2817.8,0.55276,0.83052,0.34843,0.89632,0,0.9142,0.75528,0.82321,0.64035,0.90794,0.75095,0.8072,0.58305,0.56723,1.37191,0.4329,0.9669,0,0.0045055,0.0045055,0.0045055
113,2866.2,0.55839,0.83938,0.34943,0.89747,0,0.91362,0.72941,0.78138,0.61727,0.90598,0.72107,0.76347,0.5584,0.57282,1.30421,0.49338,0.97536,0,0.004456,0.004456,0.004456
114,2914.54,0.55295,0.83583,0.34827,0.89453,0,0.92582,0.75362,0.82629,0.64312,0.92133,0.74467,0.80488,0.59371,0.56233,1.2782,0.43364,0.96496,0,0.0044065,0.0044065,0.0044065
115,2962.29,0.54565,0.82798,0.34364,0.89137,0,0.9113,0.75019,0.8114,0.63436,0.91616,0.74415,0.79816,0.5835,0.56547,1.36357,0.42935,0.963,0,0.004357,0.004357,0.004357
116,3011.77,0.54955,0.83073,0.34555,0.8922,0,0.91018,0.76058,0.827,0.63986,0.90533,0.76009,0.80748,0.57911,0.55922,1.35361,0.4195,0.95451,0,0.0043075,0.0043075,0.0043075
117,3062.15,0.54517,0.83041,0.34297,0.89133,0,0.91584,0.7393,0.80417,0.62453,0.91161,0.74131,0.78537,0.57058,0.56095,1.25904,0.44702,0.9624,0,0.004258,0.004258,0.004258
118,3110.8,0.54316,0.82849,0.34441,0.89009,0,0.91305,0.74444,0.81667,0.63582,0.91167,0.7363,0.79335,0.58025,0.55734,1.33755,0.43568,0.96021,0,0.0042085,0.0042085,0.0042085
119,3159.68,0.54118,0.83097,0.34212,0.89288,0,0.92036,0.73055,0.80052,0.62386,0.91038,0.72908,0.78106,0.57367,0.5661,1.27855,0.44502,0.96987,0,0.004159,0.004159,0.004159
120,3207.5,0.54357,0.81526,0.34463,0.89,0,0.91854,0.7364,0.8095,0.63324,0.91171,0.73597,0.7957,0.57442,0.57768,1.39067,0.43408,0.97374,0,0.0041095,0.0041095,0.0041095
121,3256.9,0.54036,0.80707,0.34127,0.88937,0,0.90276,0.73876,0.80207,0.62723,0.89695,0.734,0.78475,0.57328,0.56757,1.34374,0.45061,0.97408,0,0.00406,0.00406,0.00406
122,3307.17,0.53266,0.81241,0.3355,0.88829,0,0.9095,0.73023,0.79556,0.62065,0.89229,0.73909,0.78096,0.56859,0.57124,1.35217,0.45408,0.98128,0,0.0040105,0.0040105,0.0040105
